CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
0	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
1	7.856	7.90034	0	0	0.0045978	11.8805	158.737	-111.267	11.7063	157.823	-119.076
2	7.9685	44.0615	0.0105528	0.0329643	0.00975522	11.7063	157.823	-119.076	11.5804	154.924	-162.615
3	7.12231	28.5883	0.0391625	0.0926385	0.043063	11.5804	154.924	-162.615	26.6558	158.581	-185.211
4	5.45711	25.5814	0.0230862	0.193913	0.0127368	26.6558	158.581	-185.211	38.7286	159.987	-207.354
5	4.46555	5.05708	0.0122902	0	0.00447453	38.7286	159.987	-207.354	42.0155	158.57	-210.894
6	4.11665	1.87218	0	0	0	42.0155	158.57	-210.894	42.9236	157.936	-212.404
7	3.68606	4.12678	0.0572121	0	0.0116199	42.9236	157.936	-212.404	44.5273	157.111	-216.063
8	3.14258	12.9209	0.10402	0.255117	0.0223768	44.5273	157.111	-216.063	50.3602	154.574	-226.983
9	2.85128	2.92988	0.0813592	0	0.00639963	50.3602	154.574	-226.983	50.7391	153.439	-229.637
10	2.44564	6.53222	0.0878274	0	0.0238761	50.7391	153.439	-229.637	52.7882	150.301	-234.801
11	2.66673	2.57226	0	0	0.00797855	52.7882	150.301	-234.801	52.9246	148.921	-236.943
12	2.65504	14.1496	0.0711387	0.211514	0.0119791	52.9246	148.921	-236.943	54.9399	142.484	-249.19
13	2.68295	2.65488	0	0	0.00805408	54.9399	142.484	-249.19	55.3513	141.56	-251.622
14	2.69386	1.22927	0	0	0	55.3513	141.56	-251.622	55.4836	141.336	-252.824
15	2.44529	2.72683	0.165048	0	0.0179855	55.4836	141.336	-252.824	54.5713	140.903	-255.305
16	2.03913	16.3685	0.0715935	-0.171025	0.0205319	54.5713	140.903	-255.305	50.4763	136.004	-270.018
17	2.00198	2.10231	0.0368387	0	0.000618335	50.4763	136.004	-270.018	50.2946	135.308	-271.992
18	1.67793	19.4702	0.111477	-0.0345691	0.014497	50.2946	135.308	-271.992	53.9033	127.679	-289.229
19	1.47802	1.62975	8.17917e-06	0	-9.99201e-16	53.9034	127.679	-289.229	53.6431	127.634	-290.837
20	1.32599	9.01577	0.270768	-0.313024	0.0492172	53.6431	127.634	-290.837	52.6855	126.305	-299.273
21	1.23768	1.33471	2.5294e-05	0	2.66454e-15	52.6853	126.305	-299.273	52.6101	125.977	-300.565
22	0.989709	10.4947	0.214135	-0.13283	0.0365183	52.6101	125.977	-300.565	49.9669	123.735	-310.078
23	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
24	7.856	7.90034	0	0	0.0045978	11.8805	158.737	-111.267	11.7063	157.823	-119.076
25	7.9685	44.0615	0.0105528	0.0329643	0.00975522	11.7063	157.823	-119.076	11.5804	154.924	-162.615
26	7.12231	28.5883	0.0391625	0.0926385	0.043063	11.5804	154.924	-162.615	26.6558	158.581	-185.211
27	5.45711	25.5814	0.0230862	0.193913	0.0127368	26.6558	158.581	-185.211	38.7286	159.987	-207.354
28	4.46555	5.05708	0.0122902	0	0.00447453	38.7286	159.987	-207.354	42.0155	158.57	-210.894
29	4.11665	1.87218	0	0	0	42.0155	158.57	-210.894	42.9236	157.936	-212.404
30	3.68606	4.12678	0.0572121	0	0.0116199	42.9236	157.936	-212.404	44.5273	157.111	-216.063
31	3.14258	12.9209	0.10402	0.255117	0.0223768	44.5273	157.111	-216.063	50.3602	154.574	-226.983
32	2.85128	2.92988	0.0813592	0	0.00639963	50.3602	154.574	-226.983	50.7391	153.439	-229.637
33	2.44564	6.53222	0.0878274	0	0.0238761	50.7391	153.439	-229.637	52.7882	150.301	-234.801
34	2.66673	2.57226	0	0	0.00797855	52.7882	150.301	-234.801	52.9246	148.921	-236.943
35	2.65727	14.3148	0.0633876	0.24955	0.0124754	52.9246	148.921	-236.943	55.1541	142.162	-249.159
36	2.7214	2.74074	0	0	0.024825	55.1541	142.162	-249.159	55.6781	141.294	-251.634
37	2.72785	0.918724	0	0	2.53131e-14	55.6781	141.294	-251.634	56.073	140.946	-252.387
38	2.73788	2.73369	0	0	0.0105168	56.073	140.946	-252.387	57.5962	139.9	-254.363
39	2.21157	13.7776	0.0621234	0.106421	0.0222911	57.5962	139.9	-254.363	65.0318	133.625	-263.688
40	1.91269	2.21776	0.0239593	0	0.0002179	65.0318	133.625	-263.688	65.4243	131.602	-264.507
41	1.45043	23.6519	0.115836	-0.242255	0.0284187	65.4243	131.602	-264.507	71.6268	115.204	-279.392
42	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
43	7.856	7.90034	0	0	0.0045978	11.8805	158.737	-111.267	11.7063	157.823	-119.076
44	7.96949	42.7698	0.0118035	0.0213868	0.00996706	11.7063	157.823	-119.076	11.554	154.868	-161.32
45	7.48395	13.5516	0.0587913	0	0.0322302	11.554	154.868	-161.32	6.13062	154.353	-173.265
46	5.98966	15.4828	0.0228354	0	0.00847365	6.13062	154.353	-173.265	-4.07428	157.031	-184.418
47	5.81537	5.88185	0.00476248	0	0.00253506	-4.07428	157.031	-184.418	-8.69243	157.684	-187.977
48	5.49182	12.182	0.0298484	0	0.00725792	-8.69243	157.684	-187.977	-18.9845	159.68	-194.007
49	5.28702	5.30156	0.0346413	0	0.00561623	-18.9845	159.68	-194.007	-23.7135	160.406	-196.221
50	5.08102	6.45938	0.0600053	0	0.00710074	-23.7135	160.406	-196.221	-29.6851	161.256	-198.402
51	4.57213	5.6947	0.131781	0	0.0244486	-29.6851	161.256	-198.402	-34.2303	160.235	-201.435
52	4.40271	5.22234	0.0553152	0	0.00395186	-34.2303	160.235	-201.435	-37.3156	158.196	-205.093
53	4.38413	4.50772	0.051648	0	0.00978689	-37.3156	158.196	-205.093	-39.3592	157.306	-208.961
54	3.73968	18.119	0.0246468	-0.237528	0.00934574	-39.3592	157.306	-208.961	-48.8458	154.191	-223.879
55	3.34934	5.38294	0.112037	0	0.025165	-48.8458	154.191	-223.879	-51.5877	153.237	-228.254
56	2.35138	19.7099	0.0813054	0.0732239	0.0150806	-51.5877	153.237	-228.254	-60.6884	149.884	-245.075
57	2.12315	2.3915	0.0626618	0	0.00188133	-60.6884	149.884	-245.075	-61.7877	148.74	-246.859
58	1.74522	18.5524	0.0993408	0.292679	0.0186062	-61.7877	148.74	-246.859	-73.4113	143.904	-260.021
59	1.52599	1.64712	4.59067e-05	0	-2.22045e-16	-73.4113	143.904	-260.021	-74.9469	143.924	-260.616
60	1.13383	35.776	0.147316	0.0307212	0.0188733	-74.9469	143.924	-260.616	-105.12	144.517	-278.566
61	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
62	7.856	7.90034	0	0	0.0045978	11.8805	158.737	-111.267	11.7063	157.823	-119.076
63	7.9685	44.0615	0.0105528	0.0329643	0.00975522	11.7063	157.823	-119.076	11.5804	154.924	-162.615
64	7.12231	28.5883	0.0391625	0.0926385	0.043063	11.5804	154.924	-162.615	26.6558	158.581	-185.211
65	5.45711	25.5814	0.0230862	0.193913	0.0127368	26.6558	158.581	-185.211	38.7286	159.987	-207.354
66	4.46555	5.05708	0.0122902	0	0.00447453	38.7286	159.987	-207.354	42.0155	158.57	-210.894
67	4.11665	1.87218	0	0	0	42.0155	158.57	-210.894	42.9236	157.936	-212.404
68	3.68606	4.12678	0.0572121	0	0.0116199	42.9236	157.936	-212.404	44.5273	157.111	-216.063
69	3.14258	12.9209	0.10402	0.255117	0.0223768	44.5273	157.111	-216.063	50.3602	154.574	-226.983
70	2.85128	2.92988	0.0813592	0	0.00639963	50.3602	154.574	-226.983	50.7391	153.439	-229.637
71	2.44564	6.53222	0.0878274	0	0.0238761	50.7391	153.439	-229.637	52.7882	150.301	-234.801
72	2.66673	2.90711	0	0	1.18968	4.31109	159.681	-180.057	4.18733	159.35	-181.337
73	2.69914	11.3392	114.136	0.0934482	10.3696	4.18733	159.35	-181.337	4.58282	159.45	-180.427
74	2.51123	20.8086	6.97735	-6288.67	1.16755	4.58282	159.45	-180.427	3.97935	158.155	-170.934
75	2.04258	9.52713	0.0770086	-20731.4	0.131307	3.97935	158.155	-170.934	4.5314	157.772	-179.328
76	1.53938	12.0209	0.0985928	-51.7524	0.0484142	4.5314	157.772	-179.328	1.61298	157.93	-168.241
77	4.16382	11.77	0.0838181	0	0.0584399	1.61298	157.93	-168.241	2.17946	157.693	-157.138
78	7.90412	28.7059	2.86495	0	5.38378	2.17946	157.693	-157.138	6.52453	157.3	-156.049
79	6.58809	7.79539	0	0	6.94529	6.52453	157.3	-156.049	6.21009	157.96	-156.703
80	5.63666	32.6459	0.0384539	-395.585	0.107701	6.21009	157.96	-156.703	-3.03682	156.463	-184.647
81	5.07277	20.3173	0.0335172	-0.0695094	0.0198715	-3.03682	156.463	-184.647	-18.8349	156.828	-196.777
82	4.46202	29.9593	0.273899	3067.19	0.36861	-18.8349	156.828	-196.777	-38.245	157.791	-206.852
83	3.75908	18.6149	0.0442651	-0.175282	0.014649	-38.245	157.791	-206.852	-47.431	154.217	-222.325
84	3.8873	23.2121	0.239785	-2133.13	0.720745	6.21009	157.96	-156.703	11.6069	156.945	-169.024
85	2.50918	37.8428	0.0550164	299.822	0.139835	11.6069	156.945	-169.024	32.0429	159.209	-195.091
86	4.50957	25.6887	8.93506	-2484	1.08165	4.58282	159.45	-180.427	8.19387	159.833	-168.632
87	7.90412	12.3697	0	0	4.19593	8.19387	159.833	-168.632	7.95543	159.352	-170.952
88	6.58809	7.99033	0	0	0.769375	7.95543	159.352	-170.952	4.37504	160.588	-173.411
89	5.66316	11.9914	0.41575	0	0.610163	4.37504	160.588	-173.411	1.94952	158.928	-166.568
90	5.17115	7.44096	0.50206	0	0.471372	1.94952	158.928	-166.568	-2.78534	158.6	-164.822
91	4.46202	39.1482	0.223417	4491.93	0.912379	-2.78534	158.6	-164.822	0.815792	157.328	-184.934
92	3.75908	25.4013	0.0927	-0.364618	0.168414	0.815792	157.328	-184.934	-17.5577	156.154	-196.495
93	2.85263	61.8031	0.0323669	-838.762	0.0941519	-17.5577	156.154	-196.495	-46.9175	143.329	-243.014
94	4.10438	9.47717	0.181902	0	0.341969	-2.78534	158.6	-164.822	-0.700864	158.08	-158.095
95	3.0304	18.3367	0.0344621	-496.297	0.109631	-0.700864	158.08	-158.095	0.325053	156.938	-174.548
96	2.6801	73.5891	0.0415757	2344.01	0.0585526	0.325053	156.938	-174.548	-43.4629	143.453	-226.832
97	1.51914	70.1898	0.0887805	-648.744	0.0493398	-43.4629	143.453	-226.832	-52.4808	133.71	-292.391
98	3.82971	63.5237	0.0798408	7665.91	2.66663	6.52453	157.3	-156.049	16.58	156.137	-170.109
99	2.95191	96.4093	0.00758644	237.978	0.00641617	-0.700864	158.08	-158.095	52.9246	148.921	-236.943
100	4.32974	23.6465	0.0187182	-11719.8	0.392844	0.325053	156.938	-174.548	-11.3104	156.819	-186.911
101	4.38671	36.2689	0.0164246	-4440.1	0.0164541	-11.3104	156.819	-186.911	-39.3592	157.306	-208.961
102	4.2284	55.6569	0.00747621	-17.1968	0.00584486	0.325053	156.938	-174.548	42.0155	158.57	-210.894
103	4.11665	1.87218	0	0	0	42.0155	158.57	-210.894	42.9236	157.936	-212.404
104	5.00389	57.2806	0.0504162	-3803.93	0.592862	0.815792	157.328	-184.934	-31.7529	160.791	-199.782
105	4.46174	8.2523	0.0511797	0	0.0166264	-31.7529	160.791	-199.782	-37.3156	158.196	-205.093
