CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
0	24.7395	8.08764	0.00964846	-0.0137072	0.00139658	11.8954	155.724	-172.256	32.7356	158.134	-185.303
1	54.6501	6.19691	0.0239702	-0.0216388	0.0161474	11.8954	155.724	-172.256	-33.9982	162.221	-199.533
2	18.8354	4.53913	0.063423	0	0.0668597	32.7356	158.134	-185.303	46.691	160.127	-174.674
3	28.7249	6.10206	0.0354795	-0.0230091	0.0544414	32.7356	158.134	-185.303	41.6172	160.71	-210.927
4	15.7987	4.25093	0.0593888	-0.380999	0.0136447	-33.9982	162.221	-199.533	-45.6145	171.77	-195.434
5	11.5413	4.98314	0.0157138	0	0.0016902	-33.9982	162.221	-199.533	-38.9643	155.501	-207.465
6	10.8485	3.13991	0.0533973	0	0.034098	46.691	160.127	-174.674	53.3151	168.132	-176.122
7	14.0808	2.94069	0.0477162	0.0800747	0.0153685	46.691	160.127	-174.674	52.0612	148.376	-169.635
8	14.9543	2.64824	0.063663	-0.07959	0.0080969	46.691	160.127	-174.674	50.7785	161.572	-160.488
9	8.79798	4.93938	0.00259762	0	0.000108624	41.6172	160.71	-210.927	45.5057	155.155	-216.531
10	22.6402	3.25146	0.0453828	-0.0597285	0.0445604	41.6172	160.71	-210.927	54.3857	177.734	-215.042
11	12.2159	3.43302	0.057608	0.0154438	0.0368064	-45.6145	171.77	-195.434	-47.5228	172.837	-183.857
12	12.3598	3.3297	0.0287881	-0.00273933	0.0133624	-45.6145	171.77	-195.434	-54.0369	178.271	-201.398
13	22.7873	4.05201	0.0594026	-0.0657904	0.0431173	-38.9643	155.501	-207.465	-50.1757	153.285	-226.083
14	9.38245	3.44638	0.0504273	0	0.0277315	-38.9643	155.501	-207.465	-40.4912	146.987	-204.544
15	15.1616	2.8308	0.0875073	-0.0610834	0.0301366	53.3151	168.132	-176.122	57.9581	181.865	-173.581
16	14.2384	2.10071	0.0870173	-0.223068	0.00763371	53.3151	168.132	-176.122	67.2535	166.819	-174.206
17	11.3616	2.21239	0.0537628	-0.143087	0.0145614	52.0612	148.376	-169.635	51.3176	138.542	-164.33
18	7.47387	2.06966	0.0875379	0.0933857	0.0148477	52.0612	148.376	-169.635	58.6095	145.127	-168.739
19	10.432	1.88225	0.0992358	0.0621558	0.0253737	50.7785	161.572	-160.488	53.6684	167.998	-153.148
20	11.4649	1.87916	0.107688	0.367325	0.0195113	50.7785	161.572	-160.488	52.5186	157.012	-150.357
21	8.95597	2.70388	0.081406	0	0.0502838	45.5057	155.155	-216.531	47.2773	147.122	-214.286
22	7.89435	3.56948	0.0948826	0	0.0828562	45.5057	155.155	-216.531	47.2622	154.941	-223.604
23	18.6791	2.48695	0.0625048	-0.0335015	0.0231564	54.3857	177.734	-215.042	72.3794	180.791	-215.456
24	7.35849	2.82438	0.0454934	-0.152388	0.017075	-47.5228	172.837	-183.857	-51.5736	177.637	-180.267
25	12.7479	2.68002	0.0635017	0.202198	0.0124908	-47.5228	172.837	-183.857	-47.721	166.785	-172.818
26	7.00633	2.7159	0.0985794	0.00829248	0.0323872	-54.0369	178.271	-201.398	-59.534	182.007	-200.026
27	11.5955	2.26068	0.0585939	0.474005	0.015112	-54.0369	178.271	-201.398	-59.7415	182.462	-210.363
28	11.8029	3.1184	0.0913803	0.18186	0.0902295	-50.1757	153.285	-226.083	-49.1879	146.03	-234.058
29	14.9927	2.80756	0.0631058	0.0813996	0.0765496	-50.1757	153.285	-226.083	-62.5007	155.709	-232.097
30	14.2787	2.65844	0.0503892	0.210879	0.0111258	-50.1757	153.285	-226.083	-57.13	150.163	-237.97
31	7.43889	2.34746	0.0747315	0	0.0117818	-40.4912	146.987	-204.544	-38.0094	141.137	-208.241
32	7.77689	2.61279	0.0779233	0	0.0450115	-40.4912	146.987	-204.544	-44.0417	142.239	-200.046
33	3.7622	3.0163	0.0907046	0	0.0266569	57.9581	181.865	-173.581	58.2897	185.436	-174.337
34	12.951	1.55395	0.18015	0.0100261	0.0616109	57.9581	181.865	-173.581	68.0953	185.869	-168.101
35	6.58709	1.41681	0.113659	-0.0271444	0.0158011	67.2535	166.819	-174.206	72.8918	166.103	-177.328
36	6.85665	1.54811	0.137098	0.276706	0.0300256	51.3176	138.542	-164.33	48.9906	135.55	-158.858
37	10.4851	1.69681	0.108908	-0.0658098	0.0382556	51.3176	138.542	-164.33	54.2802	128.891	-164.052
38	11.9445	1.81099	0.0765145	-0.12376	0.0150451	58.6095	145.127	-168.739	66.9622	138.457	-163.819
39	12.4547	0.412948	5.48035	-51.0061	0.111861	58.6095	145.127	-168.739	61.8998	141.999	-178.979
40	13.4336	1.62032	0.158626	0.170594	0.0349758	53.6684	167.998	-153.148	63.027	173.744	-146.229
41	4.96625	1.31469	0.115737	0	0.0520202	53.6684	167.998	-153.148	52.4757	170.129	-149.108
42	9.51928	1.37717	0.18012	0.285653	0.021242	52.5186	157.012	-150.357	49.0661	153.097	-142.634
43	6.74582	2.1917	0.0795879	0	0.0211022	47.2773	147.122	-214.286	44.0476	141.38	-213.793
44	11.9975	2.35736	0.0731434	0.135964	0.0322049	47.2773	147.122	-214.286	55.7431	139.264	-215.58
45	7.17249	3.34478	0.11035	0	0.0707351	47.2622	154.941	-223.604	51.614	154.158	-228.636
46	14.169	2.09992	0.107916	0.00934974	0.0577963	47.2622	154.941	-223.604	41.6294	150.649	-234.974
47	11.9596	1.62845	0.0838993	0.0641823	0.0229339	72.3794	180.791	-215.456	80.2551	189.375	-214.469
48	7.23757	1.67088	0.132735	-0.193667	0.0195424	72.3794	180.791	-215.456	78.9101	178.109	-214.715
49	11.6576	2.43414	0.138845	-0.580726	0.0491655	-51.5736	177.637	-180.267	-53.4732	186.699	-174.123
50	13.6982	1.79056	0.149816	0.195798	0.0346131	-51.5736	177.637	-180.267	-61.4502	170.866	-174.619
51	11.1864	1.75375	0.117454	-0.101057	0.043351	-47.721	166.785	-172.818	-51.9855	158.814	-167.053
52	12.2265	2.02246	0.0764551	-0.0306927	0.0262546	-47.721	166.785	-172.818	-44.9955	164.399	-161.468
53	9.22273	1.94022	0.110507	0.163505	0.0198509	-59.534	182.007	-200.026	-66.6815	176.482	-199.616
54	8.02401	2.30633	0.0872254	-0.322469	0.0119469	-59.7415	182.462	-210.363	-64.1574	187.934	-214.027
55	9.34791	0.308709	3.15291	89.4387	0.104484	-59.7415	182.462	-210.363	-61.2996	175.825	-215.379
56	10.7516	2.81148	0.0452194	-0.509529	0.0108533	-49.1879	146.03	-234.058	-46.8559	143.018	-243.988
57	16.4311	1.8632	0.115393	-0.265968	0.0532916	-49.1879	146.03	-234.058	-55.7357	131.922	-235.254
58	9.75671	1.98941	0.124569	-0.379146	0.0352427	-62.5007	155.709	-232.097	-67.1913	160.952	-238.369
59	7.62849	2.53652	0.114252	-0.136413	0.0271673	-62.5007	155.709	-232.097	-69.3181	152.818	-232.662
60	8.81384	2.46252	0.109145	0.102361	0.0223437	-57.13	150.163	-237.97	-60.8152	150.029	-245.763
61	25.7067	0.855968	0.342832	6.51049	0.0291307	-57.13	150.163	-237.97	-72.7117	130.953	-241.457
62	4.41375	1.53761	0.0889241	0	0.0223382	-38.0094	141.137	-208.241	-34.5562	139.986	-210.563
63	15.9826	1.81803	0.105752	0.113212	0.0280486	-38.0094	141.137	-208.241	-38.0828	126.295	-212.869
64	8.84533	1.67939	0.0841983	0.202638	0.0120713	-44.0417	142.239	-200.046	-41.7843	136.872	-193.529
65	10.5701	2.03365	0.10831	-0.311509	0.0279445	-44.0417	142.239	-200.046	-51.0069	134.711	-199.307
66	5.58255	2.55295	0.107502	0.463585	0.040948	58.2897	185.436	-174.337	58.2216	190.326	-172.137
67	9.43202	1.45949	0.155205	-0.00507066	0.0519693	58.2897	185.436	-174.337	65.3172	189.12	-178.511
68	14.9257	1.37519	0.112114	0.498236	0.0137369	68.0953	185.869	-168.101	78.4331	196.078	-165.714
69	7.11221	0.417138	0.364068	-1.85638	0.0243071	68.0953	185.869	-168.101	70.6567	183.534	-162.084
70	19.327	1.26431	0.143513	-0.592522	0.022173	72.8918	166.103	-177.328	89.8389	158.149	-179.98
71	4.28218	1.2119	0.152138	-0.18896	0.0469632	72.8918	166.103	-177.328	74.5278	166.197	-181.076
72	5.12877	1.24633	0.180384	-0.289058	0.0409441	48.9906	135.55	-158.858	44.4484	134.242	-157.468
73	31.5617	0.635606	2.5862	293.651	0.0311207	48.9906	135.55	-158.858	51.2157	115.11	-136.182
74	20.5968	0.717036	1.23757	-56.7734	0.0344036	54.2802	128.891	-164.052	61.9803	113.393	-154.203
75	9.59118	1.24672	0.157411	-0.0293998	0.0506858	54.2802	128.891	-164.052	53.0596	119.885	-164.901
76	31.0308	1.12094	0.185809	0.153667	0.039523	66.9622	138.457	-163.819	87.2482	117.554	-170.35
77	13.5519	0.489975	4.65972	13.0157	0.116812	63.027	173.744	-146.229	71.1448	173.992	-137.213
78	25.9012	0.74215	0.322253	-0.161212	0.0545749	63.027	173.744	-146.229	70.3419	193.805	-134.093
79	9.96007	1.39553	0.181439	-0.346058	0.0365191	52.4757	170.129	-149.108	54.782	173.119	-140.272
80	7.44368	0.947446	0.354679	0.396972	0.0807895	52.4757	170.129	-149.108	50.6856	176.306	-146.645
81	7.5376	0.0937563	4.34815	-40.3451	0.0552615	49.0661	153.097	-142.634	45.0957	148.323	-139.103
82	13.0904	1.14343	0.225438	0.497013	0.0235258	49.0661	153.097	-142.634	47.4696	148.699	-130.731
83	4.44586	1.793	0.0621743	0	0.0119153	44.0476	141.38	-213.793	42.7652	140.028	-209.814
84	6.59293	1.7157	0.0901296	0.0116296	0.0133511	44.0476	141.38	-213.793	41.9819	136.935	-218.071
85	7.22827	1.38103	0.149196	0.0693164	0.0310796	55.7431	139.264	-215.58	62.1627	140.577	-213.088
86	6.47411	2.17189	0.0590942	0	0.0240232	55.7431	139.264	-215.58	57.7561	133.41	-216.868
87	16.7587	2.60886	0.0718107	-0.0600298	0.0320244	51.614	154.158	-228.636	64.5318	155.014	-238.438
88	10.8634	2.89268	0.0937685	-0.0256387	0.0638772	51.614	154.158	-228.636	54.6366	149.064	-236.953
89	4.93009	1.69029	0.0771263	0	0.0184155	41.6294	150.649	-234.974	37.601	151.527	-237.511
90	11.668	1.70184	0.107615	-0.0793246	0.0418022	41.6294	150.649	-234.974	42.2534	142.466	-242.595
91	8.28327	2.37271	0.186737	0.292985	0.112631	55.7906	186.375	-215.221	56.4013	193.571	-213.416
92	10.5455	1.83837	0.127866	1.18737	0.0872748	55.7906	186.375	-215.221	60.7994	193.795	-218.952
93	32.0615	0.888157	4.27718	-6.66721	0.0291154	80.2551	189.375	-214.469	102.659	207.789	-203.085
94	6.41302	1.27154	0.11594	0.552589	0.0280895	78.9101	178.109	-214.715	85.1235	178.554	-214.39
95	6.03756	0.214848	9.7544	28.6773	0.275546	78.9101	178.109	-214.715	80.8802	175.693	-211.154
96	11.2785	2.15233	0.0977514	0.00829342	0.0236994	-53.4732	186.699	-174.123	-53.1766	197.253	-170.975
97	13.037	1.55581	0.078719	-0.240264	0.0176945	-53.4732	186.699	-174.123	-58.7816	187.283	-162.479
98	6.31913	1.24289	0.121839	0.253172	0.0238666	-61.4502	170.866	-174.619	-65.9567	172.226	-170.627
99	27.4824	1.13654	0.209956	-0.127229	0.0393139	-61.4502	170.866	-174.619	-74.9278	148.634	-169.793
100	8.63774	1.49439	0.0735349	-0.525118	0.0114205	-51.9855	158.814	-167.053	-53.7296	153.733	-160.414
101	9.44267	1.11864	0.289248	-0.424335	0.163063	-51.9855	158.814	-167.053	-52.3589	150.719	-166.544
102	24.258	1.4276	0.293534	-0.280182	0.0537226	-44.9955	164.399	-161.468	-44.4853	169.981	-139.139
103	9.01885	1.62592	0.141171	0.153664	0.032943	-44.9955	164.399	-161.468	-40.3606	159.781	-155.686
104	5.80278	0.997409	0.208641	-0.28167	0.0640097	-66.6815	176.482	-199.616	-68.6739	172.005	-202.009
105	14.9455	1.78057	0.0979275	0.0185134	0.0372783	-64.1574	187.934	-214.027	-75.7918	196.223	-215.911
106	9.72681	1.57487	0.119004	0.195008	0.037008	-64.1574	187.934	-214.027	-68.0939	191.841	-221.592
107	13.2773	1.17561	0.134034	0.018805	0.0612886	-46.8559	143.018	-243.988	-36.7528	146.256	-250.618
108	12.1756	2.85594	0.0487406	-0.319611	0.0113588	-46.8559	143.018	-243.988	-47.4788	137.499	-254.669
